255	242	99	0	0	99	242	255	251	91	0	19	19	0	61	251	200	0	87	234	234	87	0	200	109	9	232	255	255	232	9	109	72	52	255	255	255	255	58	72	0	106	255	255	255	255	134	0	0	135	255	255	255	255	135	0	0	135	255	255	255	255	135	0	0	135	255	255	255	255	135	0	0	135	255	255	255	255	135	0	27	134	255	255	255	255	134	0	78	58	255	255	255	255	58	72	109	9	232	255	255	232	9	109	200	0	87	234	234	87	0	200	251	50	0	19	19	0	91	251	255	223	71	0	0	99	242	255	
255	236	100	0	0	100	236	255	254	80	32	152	152	32	45	254	190	27	220	255	255	220	27	190	136	106	255	255	255	255	106	100	90	156	255	255	255	255	166	80	31	209	255	255	255	255	238	1	1	238	255	255	255	255	238	1	1	238	255	255	255	255	238	1	1	238	255	255	255	255	238	1	1	238	255	255	255	255	238	1	31	209	255	255	255	255	238	32	90	156	255	255	255	255	166	90	136	106	255	255	255	255	106	136	225	34	220	255	255	220	27	190	254	111	32	152	152	32	111	254	255	247	122	14	14	122	247	255	
255	253	136	120	121	151	253	255	254	147	105	253	255	157	147	254	232	15	215	255	255	243	17	232	163	72	253	255	255	253	72	136	91	87	255	255	255	255	102	87	53	152	255	255	255	255	167	16	0	167	255	255	255	255	167	0	0	167	255	255	255	255	167	0	0	167	255	255	255	255	167	0	0	167	255	255	255	255	167	0	16	152	255	255	255	255	167	16	87	87	255	255	255	255	102	87	136	72	253	255	255	253	72	136	232	15	215	255	255	243	17	232	254	147	105	253	255	157	147	254	255	253	136	120	121	151	253	255	
255	255	169	61	61	157	250	255	255	164	68	247	247	65	160	255	245	27	164	255	255	194	27	245	163	20	247	255	255	247	20	163	84	23	255	255	255	255	49	84	73	65	255	255	255	255	100	38	0	100	255	255	255	255	100	0	0	100	255	255	255	255	100	0	0	100	255	255	255	255	100	0	0	100	255	255	255	255	100	0	38	100	255	255	255	255	93	38	84	49	255	255	255	255	23	84	163	20	247	255	255	247	20	163	245	26	164	255	255	194	27	245	255	133	58	247	234	65	160	255	255	250	110	43	43	157	250	255	
255	243	95	0	0	95	243	255	255	53	0	54	54	0	53	255	196	1	130	250	250	130	1	196	101	18	239	255	255	239	18	101	69	42	255	255	255	255	42	69	14	101	255	255	255	255	101	14	0	101	255	255	255	255	101	0	0	101	255	255	255	255	101	0	0	101	255	255	255	255	101	0	0	101	255	255	255	255	101	0	14	101	255	255	255	255	101	14	69	42	255	255	255	255	42	69	101	18	239	255	255	239	18	101	196	1	130	250	250	130	1	196	255	48	0	54	54	0	53	255	255	221	95	0	0	95	243	255	
255	255	255	255	255	200	39	0	255	255	255	247	139	11	0	0	255	255	224	74	0	0	0	0	207	114	24	0	8	14	0	0	0	0	16	115	220	83	0	0	78	157	240	254	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	255	255	255	255	255	83	0	0	
246	228	162	97	119	255	255	255	65	2	1	14	119	255	255	255	65	136	181	110	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	255	255	255	119	119	255	255	255	159	159	159	74	74	159	159	159	0	0	0	0	0	0	0	0	
255	255	255	228	79	255	255	255	167	167	126	26	30	255	255	255	243	243	212	18	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	255	30	30	255	255	255	255	255	238	24	24	238	255	255	155	155	54	0	0	54	155	155	
255	255	228	149	49	127	255	255	192	111	29	0	0	127	255	255	171	246	197	10	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	255	255	239	16	0	127	255	255	206	157	102	3	0	33	150	157	
255	255	255	87	8	247	255	255	255	240	175	11	8	247	255	255	41	27	0	0	8	247	255	255	93	93	90	2	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	255	255	247	8	8	247	255	255	143	143	139	4	4	139	143	143	0	0	0	0	0	0	0	0	
255	237	112	0	0	55	191	255	251	80	0	23	27	3	14	216	168	0	101	244	255	161	2	96	105	16	246	255	255	254	112	5	137	89	255	255	255	255	147	0	254	252	255	255	255	255	126	22	255	255	255	255	255	243	37	85	255	255	255	255	253	95	1	203	255	255	255	255	159	1	95	253	255	255	255	210	11	44	243	255	255	255	204	32	38	210	255	255	255	240	38	14	216	255	255	255	252	87	20	179	255	255	255	255	172	0	153	255	255	255	255	255	73	0	18	27	27	27	27	27	0	0	0	0	0	0	0	0	
